RecordKey,IsrcValue,Datestamp
91847fac-a4ff-443b-a4cb-92cc42f2ba24,USAR19800509,2021-09-02 20:08:22.652984
d1f1b2b5-8496-4182-91a9-5e5aeea9b291,USBB40580280,2021-09-02 20:08:22.652984
9c954ae6-c25e-4fd6-856b-7b39a8461e16,USBB40580283,2021-09-02 20:08:22.652984
44eb1290-6656-4d01-8f93-687497b0479a,USBB10500080,2021-09-02 20:08:22.652984
44eb1290-6656-4d01-8f93-687497b0479a,USBB40100014,2021-09-02 20:08:22.652984
ed303929-f6d7-47dc-9a16-40e63978fdda,USDJ20500133,2021-09-02 20:08:22.652984
31da8225-9f1b-4fbb-ba24-270ec9a5e8ac,USBB40580281,2021-09-02 20:08:22.652984
6bdc46a4-763a-42b3-b6db-22e5514b4de4,USAR19800517,2021-09-02 20:08:22.652984
3fbe85ee-99b2-469a-8bf6-4de29289421f,USBB40580279,2021-09-02 20:08:22.652984
d40a8a26-972c-48a8-a85c-ad2283736f7a,USDJ20500135,2021-09-02 20:08:22.652984
cfbf28e8-5c6f-4977-8a04-2280a3607130,USBB40000460,2021-09-02 20:08:22.652984
cfbf28e8-5c6f-4977-8a04-2280a3607130,USBB40100460,2021-09-02 20:08:22.652984
cfbf28e8-5c6f-4977-8a04-2280a3607130,USBB40581356,2021-09-02 20:08:22.652984
809b8b61-c503-44d8-b387-fc59ab513f48,USBB41400012,2021-09-02 20:08:22.652984
84405290-149a-4847-88c9-8689675f36d1,USRH11603407,2021-09-02 20:08:22.652984
4b982ff9-33d2-46e5-aaaa-23985ba26b7a,USBB40580374,2021-09-02 20:08:22.652984
3eab4853-b87b-44f5-a1bf-b20b8ff107b6,USBB10500081,2021-09-02 20:08:22.652984
3eab4853-b87b-44f5-a1bf-b20b8ff107b6,USBB40100039,2021-09-02 20:08:22.652984
2f540bf5-c371-48e8-8991-d1b6e584e3b9,USAR19800514,2021-09-02 20:08:22.652984
fa90d28c-1452-4207-847b-d5ded646e872,USBB10500076,2021-09-02 20:08:22.652984
fa90d28c-1452-4207-847b-d5ded646e872,USBB40100013,2021-09-02 20:08:22.652984
4a38bb17-7590-4f04-8e99-199854d38828,USUM70601001,2021-09-02 20:08:22.652984
59efc945-3bf2-4b1c-b56c-a39a63ced7d8,USDJ20300847,2021-09-02 20:08:22.652984
6aea4090-1982-41f4-99ea-7bfe694762a1,USAR19800513,2021-09-02 20:08:22.652984
29ebd6dd-a136-4b8e-9f5b-f36efe71ed56,USAR19800518,2021-09-02 20:08:22.652984
3650050b-dbfa-4fd6-8cae-d609625f8de3,USDJ20300849,2021-09-02 20:08:22.652984
9f70c7f5-ed69-4d4c-8db6-841545c7bea4,USDJ20500137,2021-09-02 20:08:22.652984
9ec138bc-942d-4e75-8db0-faf357fd138a,USDJ20300783,2021-09-02 20:08:22.652984
c8c2030e-1218-4dc0-8b4f-6b352f29e445,USDJ20301075,2021-09-02 20:08:22.652984
790d280a-ce9b-4f5f-9539-1a83f28253ce,USDJ20301239,2021-09-02 20:08:22.652984
9dc70b8b-07ff-479a-85f4-3ae7cb1d63ae,USBB40580284,2021-09-02 20:08:22.652984
b38d70ca-d93a-4299-bbec-be2da1e6b6b0,USBB10500084,2021-09-02 20:08:22.652984
b38d70ca-d93a-4299-bbec-be2da1e6b6b0,USBB40100037,2021-09-02 20:08:22.652984
f0158145-6d23-4e0b-8944-e1f364f26adc,USBB10500082,2021-09-02 20:08:22.652984
f0158145-6d23-4e0b-8944-e1f364f26adc,USBB40100018,2021-09-02 20:08:22.652984
8882033e-4785-4a3c-83bc-65b409b34045,USBB40580287,2021-09-02 20:08:22.652984
5441e6aa-5959-4ec2-9e99-b33691c62017,USRH11603924,2021-09-02 20:08:22.652984
a8028054-f0fa-415c-b40b-ccd3dff3b462,USRH11603924,2021-09-02 20:08:22.652984
9027b361-7281-4c43-b15d-c62fe81cbbdc,USBB41400049,2021-09-02 20:08:22.652984
a2385545-186d-411a-8395-bb5f0f1c186f,USAT21402762,2021-09-02 20:08:22.652984
6fa44ade-de7e-4571-ba7a-db1882026c07,USDJ20500139,2021-09-02 20:08:22.652984
cf82898a-fd2f-452c-aeee-a3b8b313476d,USDJ20500122,2021-09-02 20:08:22.652984
9acf6547-9671-4694-8b30-b41121c31ba1,USBB40580288,2021-09-02 20:08:22.652984
68856f67-7dec-42db-91e8-5dff63e4e97b,USDJ20500120,2021-09-02 20:08:22.652984
0af75203-5749-48cf-a9fb-e213a2a0c7a2,USDJ20300868,2021-09-02 20:08:22.652984
75478972-aa0d-43a5-9a01-959d22ed9e26,USDJ20300786,2021-09-02 20:08:22.652984
38bcaeae-8d20-4574-b9a5-5eb5cf0a5c8d,USBB40100031,2021-09-02 20:08:22.652984
38bcaeae-8d20-4574-b9a5-5eb5cf0a5c8d,USBB40581357,2021-09-02 20:08:22.652984
2706f57a-ffce-430e-bb76-b82ce1a5f02b,USBB40580399,2021-09-02 20:08:22.652984
e09b99c7-e413-456d-89b8-e404e99d6350,USBB40580130,2021-09-02 20:08:22.652984
