id,type,title,language,iswc,disambiguation,datestamp
bd6ec1d4-d976-436e-b624-6054f5589c4a,Song,Ramada Inn,eng,,,2021-09-01 07:54:18.340746
42f68075-f3f2-417c-bb81-102970f6b591,Song,Nuit magique,fra,T-071.518.987-9,,2021-09-01 07:54:18.340746
0b3da969-5466-3cef-8cbb-bfc882ba9fcf,Song,We Are the Champions,eng,T-011.240.289-7,,2021-09-01 07:54:18.340746
b5a44030-bb9d-45ae-85b5-5cb552ad9746,Song,Midnight in Afrika,,,,2021-09-01 07:54:18.340746
3b4dd4f0-344a-36d5-9c14-1a4a1989c945,Song,Wight Spider,eng,,,2021-09-01 07:54:18.340746
d879880e-2204-449e-ace8-a9f7c2aff913,Song,Land van wind en water,nld,,,2021-09-01 07:54:18.340746
698cdd23-96b5-383b-8186-976287f59563,Song,Your True Love,eng,T-918.303.954-5,,2021-09-01 07:54:18.340746
19bccc43-97d7-44d8-904e-6ef1c866d75c,Song,Tho Dem Wrappas,eng,T-914.981.625-1,,2021-09-01 07:54:18.340746
3e9c447a-c7a9-4cca-8c3f-710a4c113812,Song,No Obedience,eng,,,2021-09-01 07:54:18.340746
93777256-fcde-376c-9935-60236a9394cd,Song,We Don't Care,eng,T-904.680.630-8,,2021-09-01 07:54:18.340746
d5d36c53-335c-469d-8430-c59f08f60ad2,Song,Lament,eng,,,2021-09-01 07:54:18.340746
2edcd32e-c0cc-4ce1-bca0-a61fedb4817f,Song,Obsession,eng,,,2021-09-01 07:54:18.340746
65c82bdc-507b-4193-8615-a9ba5c5f2585,,Laissez-nous respirer,fra,,Ilona Mitrecey song,2021-09-01 07:54:18.340746
d9fbf825-9b79-4ce8-9d6f-e13f27615ec6,Song,Turn Each Other Inside Out,eng,,,2021-09-01 07:54:18.340746
4c6a5e96-bc73-4f77-993c-a450e9bb6b4d,Song,Wish You Were Here,eng,,,2021-09-01 07:54:18.340746
92e87c11-d51e-48c0-bf5e-4034b32b4625,Song,Because We Believe,,,,2021-09-01 07:54:18.340746
29ea4fd7-7d23-3c95-8758-563622f3a9a2,Song,Pon de Replay,eng,T-072.321.187-7,,2021-09-01 07:54:18.340746
acf66a1e-e8cb-4580-bdb8-da8c11d28303,Song,Dark Sunday,eng,,,2021-09-01 07:54:18.340746
a3e4ad4f-e606-494a-a9fe-1e71403f749a,Song,I Do Rock ’n Roll,eng,T-031.745.968-9,,2021-09-01 07:54:18.340746
3b2dd625-0330-3475-80a3-426f4d658ac3,Song,Spread Your Wings,eng,T-010.156.146-9,,2021-09-01 07:54:18.340746
86dc078f-f5a8-43f0-a2f8-c1fee55fbbee,Song,Celtic Blue,zxx,,,2021-09-01 07:54:18.340746
c736d48c-9ae3-400e-bd59-524e996f6bac,Song,Mic Mak Mok,eng,,,2021-09-01 07:54:18.340746
e81d2cb1-6c8e-426b-bf38-f4e477618774,Song,The Actress Hasn’t Learned the Lines (You’d Like to Hear),eng,T-010.468.371-7,Evita,2021-09-01 07:54:18.340746
81e14f37-085c-4aed-b07f-1a9db22b3343,Song,Ik zal altijd op je wachten,nld,,,2021-09-01 07:54:18.340746
2f962517-8308-3a41-9467-03fc506af58e,Song,Why Go,eng,T-070.206.497-8,,2021-09-01 07:54:18.340746
0464bf55-b584-43c1-a35c-4cc9a6c6daee,Song,Yesterday Today,eng,,,2021-09-01 07:54:18.340746
538fc498-b2c1-3b6e-8610-db177cd0f7fb,,Then Days Went By,,,,2021-09-01 07:54:18.340746
31054cf3-07b3-4a36-a99d-49c4fbc7c222,Song,You Choose,eng,T-011.093.811-8,,2021-09-01 07:54:18.340746
4b7ad7cc-c434-4e08-8ff4-03621388756f,Song,Roll Along Kentucky Moon,eng,,,2021-09-01 07:54:18.340746
cc02db7f-a53d-40b0-994f-1a6441ea058e,Song,Hollywood Promises,eng,T-915.525.675-0,,2021-09-01 07:54:18.340746
d57d9786-7501-3f76-959a-d8b7a5ff017e,Song,The Nearly Man,,T-010.321.225-4,,2021-09-01 07:54:18.340746
1f3c3675-2fc6-40e5-993e-985f213cab50,Song,High for This,eng,T-911.044.411-6,,2021-09-01 07:54:18.340746
3d8ec01e-ffa0-4af0-9266-1d73808b39c7,Song,Til The War Is Won,eng,,,2021-09-01 07:54:18.340746
3a1e417d-bdcb-3e00-b096-b6f8c904553c,,Man Research (Clapper),,,,2021-09-01 07:54:18.340746
f1d557f3-32c0-489c-88a1-22a0cdc8a427,,Cowboys and Angels,eng,,,2021-09-01 07:54:18.340746
0c097b16-603e-3dfa-ac5c-775e3dcd3dfe,Song,Puttin’ On the Ritz,eng,T-070.167.001-0,,2021-09-01 07:54:18.340746
1ad4a592-24dc-4fa8-b1df-b4c1025c5436,Song,FAB.,eng,,,2021-09-01 07:54:18.340746
4445fa24-b834-4525-875f-db84741821ab,Song,Speaking in Tongues,eng,,,2021-09-01 07:54:18.340746
ac25f05f-02e8-492b-89c4-d9c9927e6ca1,Song,Southernplayalisticadillacmuzik,eng,,,2021-09-01 07:54:18.340746
a611b498-96b2-4dbd-918b-b070ba96c989,Song,Cold,eng,,,2021-09-01 07:54:18.340746
0728c530-3734-4940-b5d2-544856f57b82,Song,Sally,eng,T-900.018.201-4,,2021-09-01 07:54:18.340746
1f7ea17c-b059-37e6-ad52-66be60ddae28,Song,Holiday,eng,T-072.068.097-6,,2021-09-01 07:54:18.340746
81958a06-2463-4d4c-a83a-cb753f66eb14,Song,Insane,eng,,,2021-09-01 07:54:18.340746
b08abc4b-5701-4af8-a66b-13887ab9757b,Song,Road Trippin’,eng,,,2021-09-01 07:54:18.340746
5f560510-d912-4835-9b6d-0371dfc76afe,Song,Perfect Stranger,eng,T-070.119.717-2,,2021-09-01 07:54:18.340746
11e078c7-f925-4f87-a56a-50ef89232d73,Song,Suspended in Gaffa,eng,T-900.222.315-6,,2021-09-01 07:54:18.340746
62c39e8e-18e2-326b-9a2f-615f8e2b547d,Song,Can’t Buy Me Love,eng,T-011.235.504-0,,2021-09-01 07:54:18.340746
f469598c-7ebe-34ee-b4ba-ac2f26fc27b1,Song,Let's Wait Awhile,eng,,,2021-09-01 07:54:18.340746
687ae2f4-ba4e-3d9d-9479-c660e08ef22f,Song,Monkey Man,eng,,,2021-09-01 07:54:18.340746
6bfd4f58-4f9f-4d19-a9ef-a8b4d299fee1,Song,The Blood Is Love,eng,,,2021-09-01 07:54:18.340746
69755ab1-409e-3ad7-902f-3a839042799c,Song,Never Gonna Give You Up,eng,T-011.230.280-3,,2021-09-01 07:54:18.340746
09cc8f15-2457-474a-a444-c1e7d0c434da,Song,TooLeGit,eng,,,2021-09-01 07:54:18.340746
9ae453e5-2860-4b24-bb58-bf9fa32f426d,,The Bell,,T-011.443.882-2,,2021-09-01 07:54:18.340746
